genome,strain_name,name,species,fromtype,wgs,isolation_source
GCF_002289615.1,KLA002,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,LXZS01,Porcine feces
GCF_002287945.1,DSM 14870,Lactobacillus rhamnosus DSM 14870 (firmicutes),Lactobacillus rhamnosus,,,
GCF_002287905.1,DSM 14869,Lactobacillus gasseri DSM 14869 (firmicutes),Lactobacillus gasseri,,,
GCF_002289935.1,KLW010,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,LXYX01,Porcine feces
GCF_002289925.1,KLW009,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,LXYY01,Porcine feces
GCF_002289905.1,KLW008,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,LXYZ01,Porcine feces
GCF_002289875.1,KLW007,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,LXZA01,Porcine feces
GCF_002289865.1,KLW006,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,LXZB01,Porcine feces
GCF_002289845.1,KLW005,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,LXZC01,Porcine feces
GCF_002289795.1,KLW004,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,LXZD01,Porcine feces
GCF_002289815.1,KLW003,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,LXZE01,Porcine feces
GCF_002289785.1,KLW002,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,LXZF01,Porcine feces
GCF_002289745.1,KLF007,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,LXZH01,Porcine feces
GCF_002370925.1,Lp820,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,NQNI01,Hunan smoked pork
GCF_002370415.1,LK-151,Leuconostoc mesenteroides (firmicutes),Leuconostoc mesenteroides,,,
GCF_002370395.1,LT-38,Leuconostoc suionicum (firmicutes),Leuconostoc suionicum,,,
GCF_002370375.1,LK-145,Lactobacillus sakei (firmicutes),Lactobacillus sakei,,,
GCF_002370355.1,LT-13,Lactobacillus sakei subsp. sakei DSM 20017 = JCM 1157 (firmicutes),Lactobacillus sakei,assembly from type material,,
GCF_002356135.1,MTCC 25067,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,,
GCF_002318935.1,D7,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,NVYO01,kimchi
GCF_002290185.1,BDGP2,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,
GCF_002289985.1,KLA001,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,LXZT01,Porcine feces
GCF_002289965.1,KLA005,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,LXZP01,Porcine feces
GCF_002407395.1,NI326,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,NDXC01,olives
GCF_002406795.1,P1,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,NXEZ01,commercial probiotic
GCF_002406745.1,P4,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,NXEW01,commercial probiotic
GCF_002406715.1,P5,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,NXEV01,commercial probiotic
GCF_002406705.1,B1,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,NXEU01,commercial probiotic
GCF_002406675.1,P2,Lactobacillus acidophilus (firmicutes),Lactobacillus acidophilus,,NXEY01,commercial probiotic
GCF_002406665.1,B3,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,NXES01,commercial probiotic
GCF_002386265.1,FDAARGOS_414,Weissella paramesenteroides (firmicutes),Weissella paramesenteroides,,,environmental
GCF_002370985.1,Lp510,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,NQNQ01,Chinese pickles (in soy sauce)
GCF_002370965.1,ATCC 8014,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,NQNE01,missing
GCF_002462495.1,CRBO_14198,Oenococcus oeni (firmicutes),Oenococcus oeni,,LKSB01,
GCF_002462485.1,CRBO_14214,Oenococcus oeni (firmicutes),Oenococcus oeni,,LKRS01,
GCF_002462475.1,CRBO_14213,Oenococcus oeni (firmicutes),Oenococcus oeni,,LKRT01,
GCF_002462445.1,CRBO_14195,Oenococcus oeni (firmicutes),Oenococcus oeni,,LKSD01,
GCF_002462435.1,CRBO_14206,Oenococcus oeni (firmicutes),Oenococcus oeni,,LKRX01,
GCF_002462405.1,CRBO_14211,Oenococcus oeni (firmicutes),Oenococcus oeni,,LKRU01,
GCF_002462395.1,CRBO_14210,Oenococcus oeni (firmicutes),Oenococcus oeni,,LKRV01,
GCF_002462345.1,CRBO_14194,Oenococcus oeni (firmicutes),Oenococcus oeni,,LKSE01,
GCF_002462335.1,CRBO_11105,Oenococcus oeni (firmicutes),Oenococcus oeni,,LKSR01,
GCF_002442835.1,FAM18149,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,,Cheese
GCF_002532175.1,M92C,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,NIGL01,Fermented milk
GCF_002532155.1,SF15B,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,NIGI01,Brassica oleracea var. capitata cultivar Varazdinski
GCF_002532115.1,D13,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,NIGG01,Traditionally produced smoked fresh cheese
GCF_002532125.1,SF15C,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,NIGH01,Brassica oleracea var. capitata cultivar Varazdinski
GCF_002532085.1,M92,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,NIGM01,Fermented milk
GCF_002462585.1,CRBO_14205,Oenococcus oeni (firmicutes),Oenococcus oeni,,LKRY01,
GCF_002462595.1,CRBO_14207,Oenococcus oeni (firmicutes),Oenococcus oeni,,LKRW01,
GCF_002462565.1,CRBO_14203,Oenococcus oeni (firmicutes),Oenococcus oeni,,LKRZ01,
GCF_002462555.1,CRBO_14200,Oenococcus oeni (firmicutes),Oenococcus oeni,,LKSA01,
GCF_002462505.1,CRBO_14196,Oenococcus oeni (firmicutes),Oenococcus oeni,,LKSC01,
GCF_002553775.1,UMNPBX16,Lactobacillus sp. UMNPBX16 (firmicutes),Lactobacillus sp. UMNPBX16,,PCYU01,ileum
GCF_002553755.1,UMNLAv76,Lactobacillus aviarius (firmicutes),Lactobacillus aviarius,,PCZQ01,ileum
GCF_002553735.1,UMNPBX17,Lactobacillus sp. UMNPBX17 (firmicutes),Lactobacillus sp. UMNPBX17,,PCYT01,ileum
GCF_002553695.1,UMNLJ94,Lactobacillus johnsonii (firmicutes),Lactobacillus johnsonii,,PCZK01,ileum
GCF_002553705.1,UMNLJ113,Lactobacillus johnsonii (firmicutes),Lactobacillus johnsonii,,PCZJ01,ileum
GCF_002553675.1,UMNPBX20,Pediococcus acidilactici (firmicutes),Pediococcus acidilactici,,PCYQ01,ileum
GCF_002553645.1,UMNLAv97,Lactobacillus aviarius (firmicutes),Lactobacillus aviarius,,PCZP01,ileum
GCF_002553635.1,UMNLAv98,Lactobacillus aviarius (firmicutes),Lactobacillus aviarius,,PCZO01,ileum
GCF_002532245.1,SF9B,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,NIGJ01,Brassica oleracea var. capitata cultivar Varazdinski
GCF_002532185.1,ZG1,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,NIGK01,Traditionally produced smoked fresh cheese
GCF_002553975.1,UMNPBX6,Lactobacillus sp. UMNPBX6 (firmicutes),Lactobacillus sp. UMNPBX6,,PCZD01,ileum
GCF_002553955.1,UMNPBX12,Lactobacillus sp. UMNPBX12 (firmicutes),Lactobacillus sp. UMNPBX12,,PCYY01,ileum
GCF_002553925.1,UMNPBX9,Lactobacillus sp. UMNPBX9 (firmicutes),Lactobacillus sp. UMNPBX9,,PCZA01,ileum
GCF_002553915.1,UMNPBX10,Lactobacillus sp. UMNPBX10 (firmicutes),Lactobacillus sp. UMNPBX10,,PCZL01,ileum
GCF_002553895.1,UMNPBX11,Lactobacillus sp. UMNPBX11 (firmicutes),Lactobacillus sp. UMNPBX11,,PCYZ01,ileum
GCF_002553855.1,UMNPBX18,Lactobacillus sp. UMNPBX18 (firmicutes),Lactobacillus sp. UMNPBX18,,PCYS01,ileum
GCF_002553845.1,UMNPBX13,Lactobacillus sp. UMNPBX13 (firmicutes),Lactobacillus sp. UMNPBX13,,PCYX01,ileum
GCF_002553835.1,UMNPBX14,Lactobacillus sp. UMNPBX14 (firmicutes),Lactobacillus sp. UMNPBX14,,PCYW01,ileum
GCF_002553805.1,UMNPBX19,Lactobacillus sp. UMNPBX19 (firmicutes),Lactobacillus sp. UMNPBX19,,PCYR01,ileum
GCF_002553785.1,UMNPBX15,Lactobacillus sp. UMNPBX15 (firmicutes),Lactobacillus sp. UMNPBX15,,PCYV01,ileum
GCF_002591805.1,CW28,Leuconostoc citreum (firmicutes),Leuconostoc citreum,,MWJP01,corn fermented beverage
GCF_002583405.1,IWT5,Lactobacillus silagincola (firmicutes),Lactobacillus silagincola,assembly from type material,BCMJ01,Total mixed ration
GCF_002576835.1,PC520,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,Chinese fermented food-pickles
GCF_002554115.1,UMNPBX4,Lactobacillus sp. UMNPBX4 (firmicutes),Lactobacillus sp. UMNPBX4,,PCZF01,ileum
GCF_002554075.1,UMNPBX2,Lactobacillus sp. UMNPBX2 (firmicutes),Lactobacillus sp. UMNPBX2,,PCZH01,ileum
GCF_002554085.1,UMNPBX1,Lactobacillus sp. UMNPBX1 (firmicutes),Lactobacillus sp. UMNPBX1,,PCZI01,ileum
GCF_002554045.1,UMNPBX7,Lactobacillus sp. UMNPBX7 (firmicutes),Lactobacillus sp. UMNPBX7,,PCZC01,ileum
GCF_002554025.1,UMNPBX3,Lactobacillus sp. UMNPBX3 (firmicutes),Lactobacillus sp. UMNPBX3,,PCZG01,ileum
GCF_002554015.1,UMNPBX8,Lactobacillus sp. UMNPBX8 (firmicutes),Lactobacillus sp. UMNPBX8,,PCZB01,ileum
GCF_002553995.1,UMNPBX5,Lactobacillus sp. UMNPBX5 (firmicutes),Lactobacillus sp. UMNPBX5,,PCZE01,ileum
GCF_002735815.1,FlyG2.1.8,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,PEBE01,Drosophila melanogaster
GCF_002724015.1,NBRC 3182,Pediococcus pentosaceus (firmicutes),Pediococcus pentosaceus,,BEWQ01,
GCF_002723875.1,NBRC 3202,Lactobacillus delbrueckii subsp. delbrueckii (firmicutes),Lactobacillus delbrueckii,assembly from type material,BEWJ01,
GCF_002706745.1,DSM 20184,Lactobacillus farciminis KCTC 3681 = DSM 20184 (firmicutes),Lactobacillus farciminis,assembly from type material,,sausage
GCF_002706705.1,DSM 20004,Lactobacillus coryniformis subsp. torquens DSM 20004 = KCTC 3535 (firmicutes),Lactobacillus coryniformis,,,air of cow shed
GCF_002706425.1,DSM 20001,Lactobacillus coryniformis subsp. coryniformis KCTC 3167 = DSM 20001 (firmicutes),Lactobacillus coryniformis,assembly from type material,,silage
GCF_002706375.1,DSM 20531,Lactobacillus amylovorus DSM 20531 (firmicutes),Lactobacillus amylovorus,assembly from type material,,cattle waste-corn fermentation
GCF_002631775.1,ATCC 8014,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,LJDC01,"de Man, Rogosa & Sharpe laboratory culture"
GCF_002614625.1,110,Weissella cibaria (firmicutes),Weissella cibaria,,LRRC01,"plaa-som, Thai fermented fish product"
GCF_002591935.1,SHI-2,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,NJPQ01,saliva
GCF_002738245.1,SGL 03,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,PECX01,
GCF_002738055.1,FlyG3.1.8,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,PEGI01,missing
GCF_002737995.1,DietG20.2.2_EE,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,PEGW01,Drosophila melanogaster nutritional substrate
GCF_002737935.1,DietG20.1.2,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,PEGV01,Drosophila melanogaster nutritional substrate
GCF_002737885.1,FlyG20.2.6,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,PEGU01,missing
GCF_002737845.1,FlyG20.1.4,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,PEGR01,missing
GCF_002737825.1,FlyG9.1.4,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,PEGM01,missing
GCF_002737745.1,FlyG8.1.1,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,PEGK01,missing
GCF_002736025.1,BCRC 14759,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,,human saliva
GCF_002735985.1,BCRC 12574,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,,human saliva
GCF_002751035.1,RI-516,Lactobacillus sakei (firmicutes),Lactobacillus sakei,,MKGG01,cacao been fermentation
GCF_002750695.1,RI-265,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKDX01,missing
GCF_002750675.1,RI-203,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKDW01,missing
GCF_002750655.1,RI-500,Lactobacillus sakei (firmicutes),Lactobacillus sakei,,MKDO01,meat
GCF_002750625.1,RI-493,Lactobacillus sakei (firmicutes),Lactobacillus sakei,,MKDL01,missing
GCF_002750615.1,RI-499,Lactobacillus sakei (firmicutes),Lactobacillus sakei,,MKDN01,meat
GCF_002750585.1,RI-496,Lactobacillus sakei (firmicutes),Lactobacillus sakei,,MKDM01,meat
GCF_002750575.1,RI-191,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKDA01,dairy product
GCF_002749875.1,RI-393,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKDB01,meat
GCF_002749655.1,ATCC 8014,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,unkown
GCF_002770655.1,VTT E-123217,Lactobacillus backii (firmicutes),Lactobacillus backii,,NAES01,Beer bottle from 1840's shipwreck
GCF_002770635.1,VTT E-123216,Pediococcus damnosus (firmicutes),Pediococcus damnosus,,NAEQ01,Beer bottle from 1840's shipwreck
GCF_002762415.1,RC-14,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,PESO01,Probiotic Capsule
GCF_002762445.1,GR-1,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,PESP01,Probiotic Capsule
GCF_002762335.1,NIBRBAC000499792,Lactobacillus terrae (firmicutes),Lactobacillus terrae,assembly from type material,,"Jukgye, Dongnam, Cheonan, Korea"
GCF_002762235.1,Lpc-37,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,NOKL01,Pure culture in MRS broth and glycerol (2:1)
GCF_002762175.1,BDGP6,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,,female gut
GCF_002751855.1,RI-031,Lactobacillus pentosus (firmicutes),Lactobacillus pentosus,,MJHF01,milk product
GCF_002751765.1,RI-029,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MJHE01,milk product
GCF_002751085.1,RI-517,Lactobacillus sakei (firmicutes),Lactobacillus sakei,,MKGH01,cacao been fermentation
GCF_002813615.1,TMW 1.1434,Lactobacillus paracasei subsp. paracasei (firmicutes),Lactobacillus paracasei,,,starter culture
GCF_002811165.1,DISK12,Lactobacillus crispatus (firmicutes),Lactobacillus crispatus,,MKXG01,oral cavity
GCF_002804045.1,EFEL 2700,Leuconostoc citreum (firmicutes),Leuconostoc citreum,,,
GCF_002798075.1,NCDC 400,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,PDKX01,curd
GCF_002787675.1,P58,Pediococcus damnosus (firmicutes),Pediococcus damnosus,,MRAF01,Beer
GCF_002794375.1,103,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,PGGE01,cecum of a 56-year-old man
GCF_002794315.1,311,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,PGGJ01,feces of a 19-year-old female
GCF_002794275.1,279,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,PGGI01,feces of a 19-year-old female
GCF_002770675.1,L101,Lactobacillus backii (firmicutes),Lactobacillus backii,,NAET01,bottled beer
GCF_002770665.1,VTT E-123212,Pediococcus damnosus (firmicutes),Pediococcus damnosus,,NAER01,Beer bottle from 1840's shipwreck
GCF_002849895.1,DSM 20249,Lactobacillus alimentarius DSM 20249 (firmicutes),Lactobacillus alimentarius,assembly from type material,,marinated fish product
GCF_002849575.1,DUP 13076,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,PKQJ01,missing
GCF_002849515.1,NRRL B-442,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,assembly from type material,PKQF01,missing
GCF_002848245.1,290,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,PKGN01,
GCF_002848195.1,273,Lactobacillus agilis (firmicutes),Lactobacillus agilis,,PKGM01,
GCF_002848175.1,268A,Lactobacillus agilis (firmicutes),Lactobacillus agilis,,PKGI01,
GCF_002848045.1,UMB0077,Lactobacillus jensenii (firmicutes),Lactobacillus jensenii,,PKJY01,
GCF_002848015.1,UMB0004,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,PKJX01,
GCF_002847905.1,UMB0003,Lactobacillus delbrueckii (firmicutes),Lactobacillus delbrueckii,,PKKE01,
GCF_002837055.1,LMG 26964,Lactobacillus apis (firmicutes),Lactobacillus apis,assembly from type material,PDKP01,stomachs of honeybees
GCF_002863265.1,UMB0187,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,PKKD01,
GCF_002863245.1,UMB0040,Lactobacillus crispatus (firmicutes),Lactobacillus crispatus,,PKKH01,
GCF_002861815.1,UMB0085,Lactobacillus crispatus (firmicutes),Lactobacillus crispatus,,PKIW01,
GCF_002861805.1,UMB0824,Lactobacillus crispatus (firmicutes),Lactobacillus crispatus,,PKIV01,
GCF_002861765.1,UMB0803,Lactobacillus crispatus (firmicutes),Lactobacillus crispatus,,PKIY01,
GCF_002861775.1,UMB0044,Lactobacillus crispatus (firmicutes),Lactobacillus crispatus,,PKIX01,
GCF_002850015.1,BGM48,Lactobacillus pentosus (firmicutes),Lactobacillus pentosus,,,olive fermentation
GCF_002849955.1,FAM22155,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,,Whey culture
GCF_002849935.1,FAM8105,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,,Tilsit cheese
GCF_002849915.1,FAM8627,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,,dairy product
GCF_002868775.1,K259,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,kimchi
GCF_002868755.1,KC3,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,kimchi
GCF_002868275.1,ATCC 12046,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,PJRL01,missing
GCF_002865565.1,HD1.7,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,,Chinese sauerkraut
GCF_002863505.1,UMB1398,Lactobacillus crispatus (firmicutes),Lactobacillus crispatus,,PKKG01,
GCF_002863485.1,UMB0054,Lactobacillus crispatus (firmicutes),Lactobacillus crispatus,,PKKF01,
GCF_002863455.1,UMB0099,Lactobacillus gasseri (firmicutes),Lactobacillus gasseri,,PKKC01,
GCF_002863445.1,UMB0670,Lactobacillus gasseri (firmicutes),Lactobacillus gasseri,,PKKB01,
GCF_002863425.1,UMB0045,Lactobacillus gasseri (firmicutes),Lactobacillus gasseri,,PKKA01,
GCF_002863405.1,UMB0007,Lactobacillus jensenii (firmicutes),Lactobacillus jensenii,,PKJZ01,
GCF_002892385.1,KA00186,Lactobacillus iners (firmicutes),Lactobacillus iners,,NBLE01,vagina
GCF_002888655.1,20-2,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,CZDD01,feces of pig
GCF_002886025.1,YL48,Leuconostoc mesenteroides (firmicutes),Leuconostoc mesenteroides,,MUXD01,Root Surface
GCF_002884735.1,UMB0056,Lactobacillus gasseri (firmicutes),Lactobacillus gasseri,,PNGR01,catheter
GCF_002884705.1,UMB0030,Lactobacillus iners (firmicutes),Lactobacillus iners,,PNGQ01,catheter
GCF_002884695.1,UMB1051,Lactobacillus iners (firmicutes),Lactobacillus iners,,PNGO01,catheter
GCF_002872355.1,SRCM101520,Lactobacillus plantarum subsp. plantarum (firmicutes),Lactobacillus plantarum,,NJPU01,food
GCF_002872255.1,SYF10-1a,Lactobacilus nuruki (firmicutes),Lactobacilus nuruki,assembly from type material,NIPR01,"Nuruk, Korean traditional beverage starter"
GCF_002871595.1,UMB0033,Lactobacillus iners (firmicutes),Lactobacillus iners,,PNGP01,catheter
GCF_002869825.1,LfU21,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,PNBB01,feces of an astronaut
GCF_002907025.1,TMW 1.1285,Lactobacillus lindneri (firmicutes),Lactobacillus lindneri,,MIXQ01,spoiled beer
GCF_002906875.1,LB1-2,Lactobacillus plantarum subsp. plantarum (firmicutes),Lactobacillus plantarum,,,beehive
GCF_002904305.1,CCC B1205,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,LGIY01,brewery
GCF_002902825.1,HDS-01,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,,Chinese sauerkraut
GCF_002901165.1,NTU 101,Lactobacillus paracasei subsp. paracasei (firmicutes),Lactobacillus paracasei,,NPOB01,Feces of infant
GCF_002900075.1,ATCC 15578,Lactobacillus sp. ATCC 15578 (firmicutes),Lactobacillus sp. ATCC 15578,,LGJA01,brewery
GCF_002899655.1,CRL1446,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,POTQ01,Goat milk cheese
GCF_002897175.1,D2-1,Lactobacillus paraplantarum (firmicutes),Lactobacillus paraplantarum,,BDOR01,
GCF_002895245.1,LM1004,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,napa cabbage kimchi
GCF_002894975.1,NP51,Lactobacillus animalis (firmicutes),Lactobacillus animalis,,POVP01,
GCF_002907225.1,TMW 1.2142,Lactobacillus sanfranciscensis (firmicutes),Lactobacillus sanfranciscensis,,MIYC01,sourdough
GCF_002907205.1,TMW 1.2140,Lactobacillus sanfranciscensis (firmicutes),Lactobacillus sanfranciscensis,,MIYA01,sourdough
GCF_002907185.1,TMW 1.2139,Lactobacillus sanfranciscensis (firmicutes),Lactobacillus sanfranciscensis,,MIXZ01,sourdough
GCF_002907155.1,TMW 1.2138,Lactobacillus sanfranciscensis (firmicutes),Lactobacillus sanfranciscensis,,MIXY01,sourdough
GCF_002907145.1,TMW 1.2137,Lactobacillus sanfranciscensis (firmicutes),Lactobacillus sanfranciscensis,,MIXX01,sourdough
GCF_002907115.1,TMW 1.2007,Lactobacillus lindneri (firmicutes),Lactobacillus lindneri,,MIXU01,brewery environment
GCF_002907105.1,TMW 1.2006,Lactobacillus lindneri (firmicutes),Lactobacillus lindneri,,MIXS01,brewery environment
GCF_002907075.1,TMW 1.2082,Lactobacillus lindneri (firmicutes),Lactobacillus lindneri,,MIXW01,brewery environment
GCF_002907065.1,TMW 1.1433,Lactobacillus lindneri (firmicutes),Lactobacillus lindneri,,MIXR01,brewery environment
GCF_002907045.1,TMW 1.2008,Lactobacillus lindneri (firmicutes),Lactobacillus lindneri,,MIXV01,brewery environment
GCF_002914885.1,LMG S-29188,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,NIGW01,
GCF_002911475.1,HT06-2,Lactobacillus sp. HT06-2 (firmicutes),Lactobacillus sp. HT06-2,,PQGL01,feces
GCF_002907365.1,TMW 1.53,Lactobacillus sanfranciscensis DSM 20451 (firmicutes),Lactobacillus sanfranciscensis,assembly from type material,MIYJ01,San Francisco sourdough
GCF_002907375.1,TMW 1.88,Lactobacillus lindneri DSM 20690 = JCM 11027 (firmicutes),Lactobacillus lindneri,assembly from type material,MIYK01,spoiled beer
GCF_002907345.1,TMW 1.392,Lactobacillus sanfranciscensis (firmicutes),Lactobacillus sanfranciscensis,,MIYH01,sourdough
GCF_002907325.1,TMW 1.1150,Lactobacillus sanfranciscensis (firmicutes),Lactobacillus sanfranciscensis,,MIYG01,sourdough
GCF_002907305.1,TMW 1.54,Lactobacillus sanfranciscensis (firmicutes),Lactobacillus sanfranciscensis,,MIYE01,sourdough
GCF_002907285.1,TMW 1.1597,Lactobacillus sanfranciscensis (firmicutes),Lactobacillus sanfranciscensis,,MIYF01,sourdough
GCF_002907255.1,TMW 1.726,Lactobacillus sanfranciscensis (firmicutes),Lactobacillus sanfranciscensis,,MIYD01,sourdough
GCF_002907245.1,TMW 1.2141,Lactobacillus sanfranciscensis (firmicutes),Lactobacillus sanfranciscensis,,MIYB01,sourdough
GCF_002942005.1,MD IIE-4657,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,PTLW01,silage
GCF_002940965.1,UMB0045b,Lactobacillus gasseri (firmicutes),Lactobacillus gasseri,,PNFW01,catheter
GCF_002940945.1,UMB0683,Lactobacillus pontis (firmicutes),Lactobacillus pontis,,PNFV01,catheter
GCF_002933755.1,NBRC 3345,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,BEWS01,
GCF_002920935.1,JMCC0013,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,PEKI01,fermented milk
GCF_002916935.1,2-3,Lactobacillus sp. 2-3 (firmicutes),Lactobacillus panisapium,,NPNH01,bee bread from Apis cerana
GCF_002916915.1,H70-3,Lactobacillus bombicola (firmicutes),Lactobacillus bombicola,assembly from type material,NPNG01,
GCF_002914985.1,LMG S-29187,Lactobacillus helveticus (firmicutes),Lactobacillus helveticus,,NIGX01,
GCF_002914965.1,LMG S-29189,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,NIGV01,
GCF_002914945.1,LMG P-21904,Lactobacillus acidophilus (firmicutes),Lactobacillus acidophilus,,NIGU01,
GCF_002993385.1,IG4,Lactobacillus pentosus (firmicutes),Lactobacillus pentosus,,PVNZ01,brines of olives
GCF_002982155.1,KCCM 40703,Pediococcus pentosaceus (firmicutes),Pediococcus pentosaceus,,,sake mash
GCF_002982135.1,DSM 20285,Pediococcus inopinatus (firmicutes),Pediococcus inopinatus,assembly from type material,,brewery yeast
GCF_002970935.1,CBA3606,Lactobacillus sp. CBA3606 (firmicutes),Lactobacillus sp. CBA3606,,,
GCF_002970915.1,CBA3605,Lactobacillus sp. CBA3605 (firmicutes),Lactobacillus sp. CBA3605,,,kimchi
GCF_002960215.1,SCT-10-10-60,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,,feces
GCF_002953655.1,DS4,Lactobacillus sakei (firmicutes),Lactobacillus sakei,,,Korean kimchi
GCF_002950695.1,WiKim0080,Weissella koreensis (firmicutes),Weissella koreensis,,,fermented cabbage
GCF_002948215.1,KC28,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,Fermented Kimchi
GCF_002943545.1,X7021,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,brine of stinky tofu
GCF_003010455.1,BM2,Weissella cibaria (firmicutes),Weissella cibaria,,,Traditional fermented food in Korea
GCF_002994725.1,C4,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,PVNN01,kefir
GCF_002994005.1,HV_6,Lactobacillus quenuiae (firmicutes),Lactobacillus quenuiae,assembly from type material,POSN01,Adult Bee Gut
GCF_002993975.1,Hlig3,Lactobacillus micheneri (firmicutes),Lactobacillus micheneri,,POSO01,Adult Bee Gut
GCF_002993965.1,HV_12,Lactobacillus timberlakei (firmicutes),Lactobacillus timberlakei,assembly from type material,POST01,Adult Bee Gut
GCF_002993485.1,IG6,Lactobacillus pentosus (firmicutes),Lactobacillus pentosus,,PVNX01,brines of olives
